id,Sweet,Sour,Texture,Sparkling,Localisation-kr,lat,lng,pourcent,Ingredients,Description,link,Fruit/vegetable,Nuts,name_kr,name,Ingredients_kr,description_kr,Localisation,image,region,region_kr,status
78,5,1,2,2,탁 브루 컴퍼니,37.4847542,126.7413331,10.5%,Rice,"Fresh Incheon Ganghwa Island rice, with Takhbru fermentation balance, adds a natural rice flavor.",https://www.taakbrew.com/,No,No,Taak 100,Taak 100,쌀,신선한 인천 강화섬 쌀에 탁브루만의 발효 밸런스를 더해 자연스러운 쌀 맛을 표현합니다,TAAK brew company,https://res.cloudinary.com/dhwup3tvm/image/upload/v1739478888/MakgeolliGuru/image_bottle/anh9hb6cpixbwelkuayy.png,Gyeonggi-do,경기도,N/A
79,3,3,2,4,양주도가,37.82711,126.95232,6%,Rice/ Potato/ Sweet potato/ Yuzu,"Yutokjatok is a makgeolli that expresses the natural rice flavor by adding fermentation of Takhbru balance to fresh Incheon Ganghwa Island rice. It is the desire of the distiller to redefine the perception of makgeolli. Overall, the balance of taste, the harmony between yuzu aroma and makgeolli, and natural yuzu zest aroma are well combined with carbonation, maximizing the refreshing taste.",https://yjdoga.com/,Yes,No,유톡자톡,Yutogjatok,쌀/감자/고구마/유자,유톡자톡은 막걸리의 인식을 새롭게 하고 싶은 양주도가의 마음이 함께 한 막걸리 입니다. 전반적으로 맛의 균형감/ 유자의 향과 막걸리의 어울림이 좋아 유자의 천연과즙의 향이 탄산과 잘 어우러져 극대화된 청량감을 느끼실 수 있습니다,Yangju Brewery,N/A,Seoul,서울,N/A
80,4,4,3,1,양주도가,37.82711,126.95233,6.5%,Rice,"Byul-san Makgeolli is a pure makgeolli made from domestic high-quality brewing rice, without any chemical additives. It is made by brewing twice, with fermented yeast extracted from 6-year fermented vinegar, called I-yangju.",https://yjdoga.com/,Yes,No,별산,Byeolsan,쌀,별산 막걸리는 화학첨가물을 일체넣지 않고 국내산 우수한 품질의 양주쌀로 만든 순수한 막걸리입니다. 6년발효 감식초에서 추출한 발효균주로 두번빚어 만든 이양주 입니다,Yangju Brewery,https://res.cloudinary.com/dhwup3tvm/image/upload/v1742830575/265547177_1635405443468724_2733878067288806654_n_cbt5pz.png,Seoul,서울,N/A
81,3,2,2,3,양주도가,37.82711,126.95234,6%,Rice/ Potato/ Sweet potato/ Persimmon,"Byul-san Sparkling is a pure makgeolli made from domestic high-quality brewing rice, without any chemical additives. It is a sparkling makgeolli, full of a refreshing sensation, just like popping grapes in your mouth.",https://yjdoga.com/,Yes,No,별산 스파클링,Byeolsan seupaekuling,쌀/감자/고구마/오디,별산 스파클링은 화학첨가물을 일체넣지 않고 국내산 우수한 품질의 양주쌀로 만든 순수한 막걸리입니다. 오디 알이 입안에서 톡톡 터지듯 청량감 넘치는 스파클링 막걸리입니다.,Yangju Brewery,N/A,Seoul,서울,N/A
82,4,4,3,1,양주도가,37.82712,126.95232,6%,Rice,"Yangju Bulgoksan combines two unique fermentation techniques of Yangju brewers to make premium makgeolli more accessible, maximizing smoothness and texture, like milk, with a delicate hue.",https://yjdoga.com/,No,No,양주 불 불곡산,Yangju bul bulgoksan,쌀,양주불곡산은 프리미엄 막걸리를 조금 더 대중화하고 싶은 마음을 담아 양주도가의 독창적인 2가지 발효기법을 조합하여 우유처럼 고운색감과 부드러움을 극대화한 식감을 느끼실 수 있습니다,Yangju Brewery,N/A,Seoul,서울,N/A
83,4,4,3,1,양주도가,37.82712,126.95233,5.8%,Rice/ Sweet potato/ Yuzu,"With a unique flavor of yuzu meeting Byul-san, it becomes a 5.8-degree alcohol, giving a refreshing and clean feeling. The process of fermentation and maturation, for more than 8 days at a low temperature of 5°C or below, creates a healthier taste of makgeolli.",https://yjdoga.com/,Yes,No,별산 5.8,Byeolsan 5.8,쌀/고구마/유자,상큼하면서도 깔끔한 느낌을 주는 것이 특징인 유자가 별산과 만나 독특한 풍미를 주는 5.8도 술이 되었습니다. 저온숙성 5℃이하에서 8일이상 발효숙성된 과정이 더욱 건강한 맛을 주는 막걸리가 되었습니다,Yangju Brewery,N/A,Seoul,서울,N/A
84,4,3,3,3,행주산성주,37.6000261,126.8259663,8%,Kawaji rice/ Ginkgo,"Made from specially cultivated Kawaji rice from Goyang City, and added with the fruit of thousand-year ginseng, this premium thousand-year ginseng makgeolli starts with a splendid and hot beginning. But, like living with deep trust and affection, the red color of the ginseng fruit fades away gradually, while its taste ripens more and more. With a heart hoping for long-lasting health... for a thousand years.",N/A,Yes,No,천년을 살아도 Thousand years,Cheonnyeoneul sal-ado Thousand years,가와지쌀/천년초,고양시 특화쌀인 가와지쌀로 빚고 천년초 열매를 더한 프리미엄 천년초 막걸리 시작은 화려하고 뜨겁지만 깊은 신뢰와 정으로 살아가듯이 천년초 열매의 붉은색은 빛에 바래 점점 사라져도 그 맛은 더욱더 무르익어갑니다. 건강하게 오래오래 함께 하기를 바라는 마음으로....천년을 살아도.,Haengjusanseongju,N/A,Incheon,인천,N/A
85,4,3,3,4,행주산성주,37.6000262,126.8259663,10.5%,Kawaji rice,"A fresh makgeolli that captures the inherent softness of the ingredients. Made from specially cultivated Kawaji rice, a semi-polished rice produced only in Goyang City, and traditional nuruk, it undergoes fermentation and refrigeration for over two months. Made without any artificial sweeteners, it brings out the natural taste and has a clean throat feel, without carbonation.",N/A,No,No,냥이탁주 화이트 White,Nyang-ithagju hwaiteu White,가와지쌀,재료 본연의 부드러움을 담은 생막걸리 고양시에서만 생산되는 반찰쌀인 가와지쌀과 전통누룩으로 두 달 이상의 발효와 냉장숙성을 거쳐 생산됩니다. 무감미료로 자연의 맛을 냈으며 탄산이 없어 목넘김이 깔끔합니다.,Haengjusanseongju,N/A,Incheon,인천,N/A
86,3,3,3,3,행주산성주,37.6000261,126.8259664,9%,Kawaji rice/ Ginkgo/ Barley/ Glutinous millet/ Omija/ Pine needle/ Honey,"Characterized by a well-balanced sweet and sour flavor. Made primarily with Kawaji rice, it is brewed with various domestic ingredients such as glutinous barley, glutinous millet, omija, pine nuts, and honey, using traditional nuruk.",N/A,Yes,Yes,냥이탁주 Nine,Nyang-ithagju Nine,가와지쌀/천년초/찰보리/찰수수/오미자/송순/벌꿀,밸런스 좋은 새콤달콤 풍성한 맛이 특징 가와지쌀을 주 재료로 찰보리/ 찰수수/ 오미자/ 송순/ 벌꿀 등의 다양한 국내산 재료를 추가하여 전통누룩으로 빚어 만듭니다.,Haengjusanseongju,N/A,Incheon,인천,N/A
87,3,3,2,3,행주산성주,37.6000262,126.8259664,5%,Rice/ Nyang-ithagju 9,"Characterized by a refreshing taste that can be enjoyed lightly as a low-alcohol makgeolli. Made with the same ingredients as Nyangitju 9, it is brewed without synthetic sweeteners, using quality domestic ingredients. Enjoy the freshness of omija and pine nuts, without the sensation of carbonation.",N/A,No,No,냥이탁주 Fresh,Nyang-ithagju Fresh,쌀/냥이틱주 9,저도주 막걸리로 가볍게 마실 수 있는 산뜻한 맛이 특징 냥이틱주 9와 같은 재료로 빚은 술로/ 합성감미료 없이 품질 좋은 국내산 재료를 사용하여 생산합니다. 탄산감이 없이 오미자와 송순이 어우러진 산뜻함을 즐겨보세요,Haengjusanseongju,N/A,Incheon,인천,N/A
88,2,3,3,2,가야막걸리,35.30987,128.80618,6%,Rice,"Made with 100% Gimhae Pyeongya rice. No artificial sweeteners. The natural sweetness of pure Korean rice (glutinous rice). A clean aftertaste and a harmonious blend of lingering sweetness. A true Korean liquor, without a hangover.",https://www.gayabrewery.com/,No,No,님그리다,Nimgeulida,쌀,김해평야 쌀 100%사용. 無감미료. 순수 우리쌀(찹쌀)에서 나오는 자연의 단맛! 깔끔한 뒷맛과 계속 생각나는 신맛의 조화. 숙취 없는 진정한 우리술,gaya makgeolli,https://res.cloudinary.com/dhwup3tvm/image/upload/v1739478881/MakgeolliGuru/image_bottle/aiumoj7bo0cnhfnyy0rf.png,Gyeongsangnam-do,경상남도,N/A
89,3,2,3,2,가야막걸리,35.30987,128.80619,6%,Rice,"Kimhae Pyeongya rice, 100% used. No artificial sweeteners. The natural sweetness from pure Korean rice (glutinous rice). After a long aging process (average 33 days), it produces a refreshing taste, harmonizing sweetness and bitterness.",https://www.gayabrewery.com/,No,No,가야의  魂,Gayaui hon,쌀,김해평야 쌀 100% 사용. 無감미료/ 순수 우리쌀(찹쌀)에서 나오는 자연의 단맛! 발효/ 오랜 숙성과정(평균 33일)을 거쳐 상쾌한 감칠맛과 단맛과 신맛이 조화로운 진정한,gaya makgeolli,N/A,Gyeongsangnam-do,경상남도,N/A
90,4,2,4,2,HolyWater 서원동 상점가(순대타운),37.4832059,126.9288823,7%,Rice,N/A,https://smartstore.naver.com/markholy/category/d6e050fb5d8b4c7d9f45b1d9405c374f?cp=1,No,No,Mark Holy 마크홀리 오리지널,Mark Holy maegkeuhollie olijineol,쌀,N/A,HolyWater ,https://res.cloudinary.com/dhwup3tvm/image/upload/v1742829403/339352127_758996162241595_5530004927713242188_n_rzec9t_dkyxk5.png,Gyeonggi-do,경기도,N/A
91,4,3,4,3,당술,37.3021094,127.0442808,15%,Rice,"Sharing a bottle with a friend on the way home, which is the most basic of yeast, a high-proof post-modern drink, with a finely balanced blend of sweetness, bitterness, and alcohol. Intended to create a forest where you can feel good when you drink. Those who like high-alcohol and strong sweetness are recommended to drink it straight, while those who prefer a smooth sweetness are recommended to drink it on the rocks.",N/A,No,No,바탕,Batang,쌀,유효모방의 가장 기본이 되는 순입니진 퇴근길에 친구와 한 병 나눠<br>마시면 기분 좋게 취할 수 있는 숲이라는 기획 의도를 가지고 단맛/ 신맛/ 쓴맛과 알코올의 밸런스를 절묘하게 맞춘 고도수 포스트모던 타주가 탄생하였습니다. 높은 도수의 알코올과 진한 단맛을 좋아하는 분은 스트레이트로/ 부드러운 단맛을 좋아하는 분은 온더라으로 마시는 것을 추천합니다.,dangsul,N/A,Gangwon-do,강원도,N/A
92,3,2,4,4,서울 발효소,37.4938288,127.0144437,13.5%,N/A,N/A,https://www.instagram.com/seoulfermentary/?hl=fr,Yes,No,단홈,Danhom,N/A,N/A,Seoul fermentary,N/A,Gangwon-do,강원도,N/A
93,2,2,1,1,서울 발효소,37.4938288,127.0144438,9%,N/A,N/A,https://www.instagram.com/seoulfermentary/?hl=fr,Yes,No,풀빛,Pulbit,N/A,N/A,Seoul fermentary,N/A,Gangwon-do,강원도,N/A
94,3,4,4,2,서울 발효소,37.4938288,127.0144439,8.5%,Vitang/ Wheat gluten yeast comes out. PZL pepper gimdae,"A vibrant blend of bold flavors and subtle, refreshing acidity, underpinned by Kim Dae full-bodied richness, with a finish dominated by bright spices.",https://www.instagram.com/seoulfermentary/?hl=fr,No,No,녹음,Nogeum,비탕/밀치유지제스트생김.피지오링크페퍼김대,혁진한 필치와 은은하고 상큼한 유지 달치를 받쳐주는 김대의 바디함과 피니시를 잠식하는 화사한 향신료,Seoul fermentary,N/A,Gangwon-do,강원도,N/A
95,5,2,4,3,서울 발효소,37.4938289,127.0144437,12.8%,Rice/ Cinnamon,"Crafted from a matured sweetness, reminiscent of ripe apples, and complemented by the practicality of pineapple and the subtle nuttiness of macadamia nuts.",https://www.instagram.com/seoulfermentary/?hl=fr,No,No,온설,Onseol,쌀/계피,녹진한 단맛에 수정과같은 일한 계피와 생김 병소를<br>연심시기는 실용한 파인애플과 은은한 넛맥의 피니쉬,Seoul fermentary,N/A,Gangwon-do,강원도,N/A
96,2,4,4,3,서울 발효소,37.4938289,127.0144438,12%,Rice,N/A,https://www.instagram.com/seoulfermentary/?hl=fr,No,No,의 의지할,Ui uijihal,쌀,N/A,Seoul fermentary,N/A,Gangwon-do,강원도,N/A
97,4,1,2,2,서울 발효소,37.4938289,127.0144439,8%,Rice,Enjoy the taste of 100% Seonsan and experience the originality.,https://www.instagram.com/seoulfermentary/?hl=fr,No,No,선산 스위트,Seonsan seuwiteu,쌀,선산 100% 사용해 본당을 즐길 수 있는 주립니다,Seoul fermentary,N/A,Gangwon-do,강원도,N/A
98,1,3,2,4,서울 발효소,37.4938290,127.0144437,6%,Rice,N/A,https://www.instagram.com/seoulfermentary/?hl=fr,No,No,선산 베이직,Seonsan beijik,쌀,N/A,Seoul fermentary,N/A,Gangwon-do,강원도,N/A
99,4,4,3,2,장안양조장,37.57105,127.06806,9%,Rice,"Iyangju is a method of making alcohol by first creating a base alcohol, then adding alcohol to it. It is brewed twice to ensure stability. The base alcohol is made using high temperatures and Nuruk, ending yeast through mutualism, while punishment and merger are used for Godubap.",N/A,No,No,장안누룩09,Jangan-nuruk09,쌀,이양주는 방송국 술을 만든 다음 덧술을 한번 더 해 술을 빚는 방법입니다.<br>두번 발효하여 안정적으로 술을 빚을 수 있습니다. 밑술은 열발과 누룩으로 상호를 통해 효모를 종식시킨 것을 고두밥으로 엄벌과 합병을 사용합니다.,Jang-an Brewery,N/A,Gangwon-do,강원도,N/A
100,3,3,3,2,장안양조장,37.57105,127.06807,12%,Rice,"Iyangju is made by brewing base alcohol with rice flour and then adding alcohol. It is fermented separately and handmade, allowing you to experience a deep and rich flavor.",N/A,No,No,장안사이12,Jangansa-i12,쌀,쌀가루를 이용하여 죽으로 밑술을 빚고 한번 더<br>잡별로 덧술을 해서 발효시켜 빚는 이양주입니다. 수작업으로 빚어 풍미와 깊은 맛을 느낄 수 있습니다.,Jang-an Brewery,N/A,Gangwon-do,강원도,N/A
101,2,1,3,1,대밭고을,35.00385,128.06857,13%,Rice,N/A,https://www.wadiz.kr/web/maker/detail/834057?path=reward_detail,No,No,대담 13 막걸리,Daedam 13 makgeolli,쌀,N/A,Daebat Village Brewery,N/A,Gyeongsangnam-do,경상남도,N/A
102,4,1,4,1,대밭고을,35.00386,128.06857,15%,Rice,N/A,https://www.wadiz.kr/web/maker/detail/834057?path=reward_detail,No,No,대담 15 약주,Daedam 15 yakju,쌀,N/A,Daebat Village Brewery,N/A,Gyeongsangnam-do,경상남도,N/A
103,5,1,4,0,민주 양조장 - 포천,37.7944481,127.1263758,16%,Rice,"Premium makgeolli made only with Pocheon rice and Nuruk (Korean traditional wild yeast), undergoing 60 days of low-temperature fermentation and 90 days of low-temperature aging, for a total of 150 days of waiting.",https://blog.naver.com/minjusool,No,No,Minju Concerto,Minju Concerto,쌀,포천 쌀과 누룩(한국 전통 야생 효모)으로 만든 프리미엄 막걸리/ 저온 발효 60일 및 저온 숙성 90,minju brewery - pocheon ,https://res.cloudinary.com/dhwup3tvm/image/upload/v1742829403/456305933_494821730011061_6015448450385515823_n_kl6jhl_mgifig.png,Gangwon-do,강원도,N/A
104,2,4,3,1,도반 양조장,37.75952,126.77772,9%,Rice,N/A,N/A,No,No,3rd,3rd,쌀,N/A,dovan brewery ,https://res.cloudinary.com/dhwup3tvm/image/upload/v1739478885/MakgeolliGuru/image_bottle/lhcmueaqpyswiqmtyfsi.png,Gyeonggi-do,경기도,N/A
105,4,2,3,0,금정산성,35.2514917,129.0454309,5%,Rice,"The story of five hundred years of makgeolli in Geumjeongsanseong. You can feel the flavor and deep taste, brewed by hand.",sanmakcho.com,No,No,청탁,Cheongtak,쌀,오백년 막걸리 이야기 금정산성. 수작업으로 빚어 풍미와 깊은 맛을 느낄 수 있습니다.,Geumjeongsanseong Fortress,https://res.cloudinary.com/dhwup3tvm/image/upload/v1739478881/MakgeolliGuru/image_bottle/iip5yqlqtv7qzctxww83.png,Busan,부산,N/A
106,4,3,3,4,주방장 양조장,36.3664736,127.3189253,10%,Rice,N/A,N/A,No,No,sucre,Sucre,쌀,N/A,Jubangjang Brewery,N/A,Chungcheongbuk-do,충청북도,N/A
107,3,2,3,3,주방장 양조장,36.3664736,127.3189254,8%,Rice/ Pear,N/A,N/A,Yes,No,pear,Pear,쌀/배,N/A,Jubangjang Brewery,N/A,Chungcheongbuk-do,충청북도,N/A
108,4,2,3,1,산정호수 동정춘,38.07099,127.28349,6%,Rice,N/A,N/A,No,No,산정 호수 막걸리,Sanjeong hosu makgeolli,쌀,N/A,sanjeong Lake Dongjeongchun ,N/A,Gangwon-do,강원도,N/A
109,3,3,2,1,문경주조,36.58755,128.18624,6.5%,Rice/ Omija,N/A,https://mgomijasul.modoo.at/,Yes,No,오미자 생막걸리,Omija saengmakgeolli,쌀/오미자,N/A,Mungyeong Brewery,https://res.cloudinary.com/dhwup3tvm/image/upload/v1739478884/MakgeolliGuru/image_bottle/kroocgp377g2gol2s7l8.png,Gyeongsangbuk-do,경상북도,N/A
110,4,2,2,1,문경주조,36.58756,128.18624,12%,Rice,N/A,N/A,No,No,구름을 벗삼아,Gureum-eul beotsam-a,쌀,N/A,Mungyeong Brewery,N/A,Gyeongsangbuk-do,경상북도,N/A
111,2,3,2,1,김포금쌀탁주,37.73548,126.64134,6%,Rice,N/A,N/A,No,No,선호 생 막걸리 ,Seonho saeng makgeolli,쌀,N/A,Gimpo Gold Rice Takju,https://res.cloudinary.com/dhwup3tvm/image/upload/t_removebackCrop/v1742830575/305194267_1080427139533038_3222980276623297241_n_je0maj.png,Gyeonggi-do,경기도,N/A
112,3,4,2,2,속초 설악산,38.1669103,128.5172053,6%,Rice/ Racine,N/A,N/A,No,No,더덕 생막걸리,Deodeog saengmakgeolli,쌀/라신,N/A,sokcho seoraksan,https://res.cloudinary.com/dhwup3tvm/image/upload/v1739478897/MakgeolliGuru/image_bottle/n2otmnaiopxehka0ikry.png,Gangwon-do,강원도,N/A
113,2,2,3,1,무주,36.007,127.6609,6%,Rice/ Cheonma,N/A,N/A,No,No,천설주,Cheonseolju,쌀/천마,N/A,muju,N/A,Chungcheongbuk-do,충청북도,N/A
114,4,3,4,0,독 우이락 - 망원,37.5560254,126.9101277,6%,Rice,N/A,https://wooyirak.com/ ,No,No,Creamy,Creamy,쌀,N/A,DOK Mangwon market,N/A,Incheon,인천,N/A
115,3,4,4,2,해창주조장,34.4857,126.49165,6도9도12도,Rice/ Glutinous rice,"Rich flavor of glutinous rice and strong taste of glutinous rice. Not too sweet, with moderate acidity. Goes well with any dish. The 12% is full bodied, creamy with sweet rice notes.",N/A,No,No,해창막걸리,Haechang makgeolli,쌀/찹쌀,찹쌀의 감칠맛과 맵쌀의 센맛/ 단맛이 강하지 않고/ 산미가 적당. 어떤 음식과도 잘 어울림. 12% 막걸리는 바디감이 풍부하고 크리미하며 달콤한 쌀 향이 느껴집니다.,Haechang Brewery,https://res.cloudinary.com/dhwup3tvm/image/upload/v1742829404/256192519_2263645170444467_7618678826388252970_n_vd98kg_xuahcq.png,Jeollanam-do,전라남도,N/A